NACA4412
1.000167 0.001249
1.000105 0.001266
0.999922 0.001317
0.999616 0.001402
0.999188 0.001520
0.998638 0.001673
0.997966 0.001859
0.997172 0.002078
0.996256 0.002331
0.995219 0.002617
0.994061 0.002936
0.992781 0.003287
0.991381 0.003671
0.989861 0.004087
0.988220 0.004534
0.986460 0.005013
0.984580 0.005523
0.982582 0.006064
0.980464 0.006635
0.978229 0.007236
0.975877 0.007866
0.973407 0.008525
0.970821 0.009212
0.968119 0.009927
0.965302 0.010670
0.962370 0.011439
0.959324 0.012235
0.956164 0.013056
0.952893 0.013902
0.949509 0.014772
0.946014 0.015667
0.942409 0.016584
0.938694 0.017524
0.934870 0.018486
0.930939 0.019468
0.926901 0.020471
0.922757 0.021494
0.918507 0.022536
0.914154 0.023596
0.909697 0.024673
0.905139 0.025767
0.900479 0.026877
0.895720 0.028002
0.890861 0.029141
0.885905 0.030294
0.880852 0.031460
0.875704 0.032638
0.870462 0.033827
0.865127 0.035027
0.859700 0.036236
0.854182 0.037454
0.848575 0.038681
0.842881 0.039914
0.837099 0.041154
0.831233 0.042399
0.825283 0.043649
0.819251 0.044903
0.813137 0.046160
0.806945 0.047420
0.800674 0.048681
0.794327 0.049942
0.787904 0.051204
0.781409 0.052464
0.774841 0.053723
0.768203 0.054980
0.761497 0.056233
0.754723 0.057482
0.747884 0.058726
0.740981 0.059964
0.734016 0.061196
0.726991 0.062420
0.719907 0.063637
0.712766 0.064844
0.705570 0.066042
0.698320 0.067230
0.691019 0.068407
0.683668 0.069571
0.676269 0.070724
0.668823 0.071862
0.661333 0.072987
0.653801 0.074097
0.646228 0.075192
0.638616 0.076270
0.630968 0.077331
0.623284 0.078375
0.615567 0.079400
0.607819 0.080407
0.600042 0.081394
0.592238 0.082360
0.584409 0.083306
0.576556 0.084230
0.568682 0.085132
0.560788 0.086011
0.552878 0.086866
0.544952 0.087698
0.537012 0.088505
0.529062 0.089286
0.521102 0.090042
0.513135 0.090772
0.505163 0.091475
0.497188 0.092150
0.489212 0.092798
0.481237 0.093417
0.473265 0.094008
0.465298 0.094569
0.457339 0.095101
0.449388 0.095602
0.441449 0.096073
0.433524 0.096513
0.425613 0.096921
0.417721 0.097298
0.409848 0.097643
0.401996 0.097956
0.394076 0.098231
0.386148 0.098457
0.378248 0.098632
0.370378 0.098758
0.362539 0.098833
0.354734 0.098858
0.346965 0.098834
0.339235 0.098759
0.331545 0.098635
0.323898 0.098461
0.316296 0.098238
0.308741 0.097966
0.301236 0.097646
0.293782 0.097277
0.286381 0.096860
0.279036 0.096396
0.271749 0.095886
0.264521 0.095329
0.257356 0.094726
0.250254 0.094078
0.243219 0.093385
0.236251 0.092649
0.229354 0.091870
0.222528 0.091048
0.215777 0.090185
0.209101 0.089281
0.202502 0.088337
0.195984 0.087354
0.189546 0.086333
0.183192 0.085275
0.176923 0.084181
0.170740 0.083052
0.164646 0.081889
0.158642 0.080693
0.152730 0.079464
0.146911 0.078205
0.141186 0.076916
0.135559 0.075599
0.130029 0.074254
0.124599 0.072882
0.119269 0.071486
0.114042 0.070066
0.108918 0.068623
0.103900 0.067159
0.098987 0.065674
0.094182 0.064171
0.089486 0.062649
0.084900 0.061111
0.080425 0.059558
0.076062 0.057991
0.071812 0.056411
0.067676 0.054820
0.063655 0.053218
0.059751 0.051607
0.055964 0.049988
0.052294 0.048362
0.048743 0.046730
0.045312 0.045095
0.042001 0.043456
0.038811 0.041814
0.035742 0.040172
0.032796 0.038530
0.029973 0.036889
0.027273 0.035250
0.024697 0.033614
0.022246 0.031982
0.019919 0.030356
0.017718 0.028735
0.015642 0.027121
0.013693 0.025514
0.011870 0.023917
0.010173 0.022328
0.008603 0.020749
0.007161 0.019181
0.005845 0.017624
0.004657 0.016079
0.003597 0.014547
0.002663 0.013027
0.001858 0.011521
0.001180 0.010029
0.000630 0.008551
0.000207 0.007088
-0.000089 0.005640
-0.000257 0.004207
-0.000298 0.002789
-0.000212 0.001387
0.000000 0.000000
0.000337 -0.001362
0.000797 -0.002689
0.001378 -0.003983
0.002082 -0.005242
0.002907 -0.006467
0.003853 -0.007657
0.004920 -0.008814
0.006107 -0.009936
0.007413 -0.011025
0.008839 -0.012079
0.010383 -0.013100
0.012045 -0.014086
0.013825 -0.015039
0.015722 -0.015958
0.017734 -0.016844
0.019862 -0.017696
0.022105 -0.018515
0.024461 -0.019301
0.026931 -0.020054
0.029513 -0.020775
0.032207 -0.021462
0.035012 -0.022118
0.037926 -0.022742
0.040950 -0.023333
0.044081 -0.023893
0.047320 -0.024422
0.050665 -0.024920
0.054115 -0.025387
0.057670 -0.025824
0.061328 -0.026231
0.065088 -0.026608
0.068949 -0.026955
0.072911 -0.027274
0.076972 -0.027564
0.081131 -0.027826
0.085386 -0.028060
0.089738 -0.028267
0.094184 -0.028447
0.098724 -0.028601
0.103357 -0.028729
0.108080 -0.028832
0.112894 -0.028910
0.117797 -0.028963
0.122787 -0.028993
0.127864 -0.029000
0.133026 -0.028984
0.138272 -0.028946
0.143601 -0.028887
0.149012 -0.028807
0.154503 -0.028707
0.160073 -0.028588
0.165721 -0.028450
0.171446 -0.028295
0.177245 -0.028122
0.183119 -0.027932
0.189065 -0.027727
0.195083 -0.027507
0.201171 -0.027272
0.207327 -0.027025
0.213551 -0.026764
0.219840 -0.026491
0.226195 -0.026208
0.232612 -0.025914
0.239092 -0.025611
0.245632 -0.025299
0.252231 -0.024979
0.258888 -0.024653
0.265601 -0.024320
0.272369 -0.023982
0.279191 -0.023640
0.286065 -0.023294
